"name","team","position","height_inches","wingspan_inches","wingspan_advantage","g","mp","pts","orb","drb","trb","ast","stl","blk","o_rtg","d_rtg","e_fg_percent","ft_percent","fg_percent","avg_dist_of_fg","X2pt_rate","X3pt_rate","X2pt_percent","X3pt_percent","dunk_rate","residuals","fitted"
"Svi Mykhailiuk","UTA","SG",78.5,77,-1.5,38,760,21.1,1.4,4.3,5.7,4.8,1.2,0.4,103,123,0.507,0.8,0.391,19.7,0.328,0.672,0.485,0.345,0.013,0.609183684685007,5.09081631531499
"T.J. McConnell","IND","PG",72.5,74,1.5,79,1415,24.5,1.5,5.1,6.6,11.9,2.8,0.7,113,113,0.531,0.74,0.519,9.1,0.921,0.079,0.537,0.306,0,3.60541255588003,2.99458744411997
"Talen Horton-Tucker","CHI","SG",74.5,85.25,10.75,58,724,24.4,1.2,5.2,6.4,5.4,1.4,0.7,112,117,0.527,0.735,0.457,12.6,0.581,0.419,0.544,0.336,0.045,-4.45544571110131,10.8554457111013
"Tari Eason","HOU","PF",78.75,86,7.25,57,1420,23.5,4.4,8,12.4,2.8,3.3,1.7,119,106,0.543,0.76,0.487,11.3,0.671,0.329,0.557,0.342,0.1,1.02049707109993,11.3795029289001
"Taurean Prince","MIL","SF",78.5,83.5,5,80,2166,14.6,0.8,5.6,6.4,3.5,1.7,0.3,114,115,0.6,0.813,0.457,18,0.348,0.652,0.492,0.439,0.018,-3.23264553623755,9.63264553623755
"Taylor Hendricks","UTA","PF",80.25,84.5,4.25,3,75,9,3.2,6.4,9.6,1.3,3.2,2.6,88,114,0.306,0.75,0.222,18.8,0.333,0.667,0.167,0.25,0.056,-0.731388493302557,10.3313884933026
"Terance Mann","ATL","SF",76.75,79.75,3,67,1414,17.6,2.3,4.4,6.8,4.1,1.6,0.5,120,116,0.569,0.691,0.496,13.5,0.605,0.395,0.58,0.368,0.08,-0.212359447243766,7.01235944724377
"Terrence Shannon Jr.","MIN","SG",77.75,80.75,3,32,339,20.1,1.5,5.4,6.8,4.7,1,0.7,114,114,0.531,0.81,0.482,9.8,0.728,0.272,0.53,0.355,0.07,-0.911102404308775,7.71110240430877
"Terry Rozier","MIA","PG",72.5,80.25,7.75,64,1658,20.4,1.3,5.8,7.2,5,1.1,0.4,103,116,0.462,0.852,0.391,15.7,0.515,0.485,0.48,0.295,0.002,-0.16173092577627,7.36173092577627
"Thomas Bryant","IND","C",81.5,90,8.5,66,963,21.5,4.2,8.4,12.6,2.7,1.4,2.1,125,113,0.583,0.859,0.508,14.9,0.539,0.461,0.665,0.324,0.109,-1.5744747571601,14.1744747571601
"Tidjane SalaÃ¼n","CHA","PF",81,84.75,3.75,60,1244,14,2.8,8.3,11.1,2.9,1.1,0.6,97,117,0.414,0.713,0.33,17.6,0.406,0.594,0.4,0.283,0.038,0.593925767431191,10.5060742325688
"Tim Hardaway Jr.","DET","SG",76.5,79,2.5,77,2153,18.9,0.4,3.7,4.1,2.7,0.8,0.2,117,118,0.529,0.855,0.406,20.2,0.328,0.672,0.484,0.368,0.016,-2.38830222944501,6.48830222944501
"Tobias Harris","DET","PF",78.5,83,4.5,73,2305,20.9,1.4,7.7,9,3.4,1.5,1.2,116,113,0.534,0.861,0.477,13.1,0.672,0.328,0.542,0.345,0.075,-0.283274057705044,9.28327405770504
"Toumani Camara","POR","PF",79,84.5,5.5,78,2548,16.8,3.3,5.3,8.6,3.3,2.2,1,117,115,0.552,0.722,0.458,14,0.497,0.503,0.542,0.375,0.084,-1.73138849330256,10.3313884933026
"Trae Young","ATL","PG",72.5,75,2.5,76,2739,31.4,0.6,3.4,4,15,1.6,0.2,114,119,0.491,0.875,0.411,17.3,0.533,0.467,0.474,0.34,0.001,0.306669598815025,3.69333040118498
"Trayce Jackson-Davis","GSW","C",80.25,85,4.75,62,967,20.5,6.1,9.5,15.6,5.2,1.2,1.9,125,111,0.576,0.578,0.576,3.4,0.99,0.01,0.582,0,0.387,4.91924002816494,10.6807599718351
"Tre Jones","CHI","PG",73,76,3,46,905,17.3,1.6,4.5,6.1,10.1,1.9,0.5,134,118,0.578,0.821,0.538,8.9,0.798,0.202,0.574,0.396,0.004,1.70792664175002,4.39207335824998
"Tre Mann","CHA","PG",75.25,76,0.75,13,319,28.2,1.8,4,5.9,6,1.1,0.6,105,120,0.509,0.905,0.435,13.6,0.627,0.373,0.455,0.4,0.006,1.50792664175002,4.39207335824998
"Trendon Watford","BKN","PF",79.5,86.25,6.75,44,913,24.5,2,6.7,8.7,6.3,1.5,0.7,105,116,0.51,0.762,0.469,10.2,0.749,0.251,0.515,0.33,0.02,-2.85418866816632,11.5541886681663
"Trey Lyles","SAC","PF",81,85.5,4.5,69,1349,16.3,2.9,8.6,11.5,3,1.5,0.8,117,116,0.528,0.7,0.42,17.6,0.364,0.636,0.559,0.34,0.078,0.469868549632435,11.0301314503676
"Trey Murphy III","NOP","SF",79.5,84,4.5,53,1854,29.4,1.2,5.8,7,4.9,1.5,1,118,121,0.548,0.887,0.454,16.6,0.478,0.522,0.556,0.361,0.093,-2.98201701477005,9.98201701477005
"Tristan Da Silva","ORL","PF",80.25,82.25,2,74,1629,16.3,2.2,5.3,7.5,3.5,1,0.6,109,113,0.495,0.873,0.412,15.1,0.505,0.495,0.488,0.335,0.062,-1.25921683990629,8.75921683990629
